"","date","time","temp","clouds","humidity","wind","temp_min","temp_max"
"134",1400680800,"2014-05-21 10:0",293.617741574605,75,81.7253530974689,2.4758215634177,292.404929380506,294.404929380506
"135",1400684400,"2014-05-21 11:0",292.011812333939,75,89.2767445112572,2.22410851629143,290.894651097749,292.894651097749
"136",1400688000,"2014-05-21 12:0",295.172149357602,90,75.4424518201285,2.6,294.173019271949,296.173019271949
"137",1400691600,"2014-05-21 13:0",296.615402431963,40,66.8679791546034,2.6,295.661001737116,298.172003474233
"138",1400695200,"2014-05-21 14:0",298.355927452597,40,62.9829623522946,3.83935147018412,297.141481176147,300.141481176147
"139",1400698800,"2014-05-21 15:0",299.565037573059,40,62.999443362093,4.84993042026162,298.650139159477,301.15
"140",1400702400,"2014-05-21 16:0",300.307281337047,40,56.0222841225627,5.39643454038997,299.647771587744,301.647771587744
"141",1400706000,"2014-05-21 17:0",300.92,40,48.9781778505183,5.1385433715221,300.15,302.15
"142",1400709600,"2014-05-21 18:0",301.05857341878,40,43.9205906937866,3.58676511563109,299.636765115631,302.15
"143",1400713200,"2014-05-21 19:0",300.934855031268,1,39.9994314951677,3.85042637862422,299.15,302.15
"144",1400716800,"2014-05-22 20:0",300.634516129032,1,40.010752688172,4.09462365591398,298.644623655914,302.15
"145",1400720400,"2014-05-22 21:0",298.40087431694,1,45.2404371584699,3.06994535519126,296.029781420765,300.029781420765
"146",1400724000,"2014-05-22 22:0",295.433090379009,1,52.0962099125364,2.6,293.117930029154,297.633965014577
"147",1400727600,"2014-05-22 23:0",293.482317954419,1,55,2.6,290.675847693163,296.167231795442
"148",1400731200,"2014-05-22 0:0",292.074649681529,1,55,2.34309978768577,288.122399150743,294.636199575372
"149",1400734800,"2014-05-22 1:0",291.581035787024,1,57.0634274076229,2.61585685190573,287.665856851906,294.15
"150",1400738400,"2014-05-22 2:0",290.944068163376,1,61.023262104409,3.60581552610225,287.644184473898,293.138368947795
"151",1400731200,"2014-05-22 0:0",292.074649681529,1,55,2.34309978768577,288.122399150743,294.636199575372
"152",1400734800,"2014-05-22 1:0",291.581035787024,1,57.0634274076229,2.61585685190573,287.665856851906,294.15
"153",1400738400,"2014-05-22 2:0",290.944068163376,1,61.023262104409,3.60581552610225,287.644184473898,293.138368947795
"154",1400742000,"2014-05-22 3:0",290.455222095672,1,72.6406605922551,3.33889521640091,287.15,292.15
"155",1400745600,"2014-05-22 4:0",290.102575757576,1,84.4494949494949,3.88843434343434,286.660101010101,291.660101010101
"156",1400749200,"2014-05-22 5:0",289.097218251787,1,87,3.40088510170423,286.15,290.659620670698
"157",1400752800,"2014-05-22 6:0",287.815522143248,40,90.021323127392,1.5,285.646446145435,289.142892290869
"158",1400756400,"2014-05-22 7:0",287.30986332574,40,90.003416856492,1.5,285.649430523918,288.15
"159",1400760000,"2014-05-22 8:0",288.165505245721,1,79.1546107123136,3.26521258972943,286.64033683048,289.130673660961
"160",1400763600,"2014-05-22 9:0",288.978387096774,1,71,5.1,287.15,290.15
"161",1400767200,"2014-05-22 10:0",290.085491266376,1,69.0633187772926,5.39050218340611,287.634170305677,291.602510917031
"162",1400770800,"2014-05-22 11:0",291.69937360179,40,65.0425055928412,5.16168903803132,288.63937360179,293.63937360179
"163",1400774400,"2014-05-22 12:0",292.299461663948,90,64.9880369766177,5.14671016856988,289.15,294.15
"164",1400778000,"2014-05-22 13:0",292.661224256293,90,63.0549199084668,4.41784897025172,290.136270022883,294.643135011442
"165",1400781600,"2014-05-22 14:0",292.813340623291,75,59,3.83072717331875,291.15,294.662848551121
"166",1400785200,"2014-05-22 15:0",293.543734072022,90,55.5252077562327,5.14603878116344,292.142797783933,295.142797783933
"167",1400788800,"2014-05-22 16:0",294.455618038576,40,50.4735126324368,4.63145884270579,293.15,296.15
"168",1400792400,"2014-05-22 17:0",294.585137322926,40,49,4.10072275224053,293.15,296.15
"169",1400796000,"2014-05-22 18:0",294.431366255144,40,47.0499314128944,4.8437585733882,293.15,295.662482853224
"170",1400799600,"2014-05-22 19:0",294.308916528469,75,45,5.1,292.653869541183,295.646130458817
"171",1400803200,"2014-05-23 20:0",293.930162999185,1,46.5289323553382,4.08071176310785,291.640355881554,295.640355881554
"172",1400806800,"2014-05-23 21:0",292.409545454545,1,49.5306818181818,3.1,290.639772727273,293.619318181818
"173",1400810400,"2014-05-23 22:0",291.072959501558,1,51,3.1,289.171806853583,292.15
"174",1400814000,"2014-05-23 23:0",290.102467496542,40,54.3731673582296,4.0203928077455,287.186237897649,291.668118948824
"175",1400817600,"2014-05-23 0:0",288.960505355672,40,59.9588025267784,5.01,286.15,290.170598736611
"176",1400821200,"2014-05-23 1:0",288.19473062122,40,64.0021990104453,3.25307036833425,285.649450247389,289.15
"177",1400824800,"2014-05-23 2:0",287.548531073446,90,63.9144471347861,2.07352703793382,285.15,288.628611783696
"178",1400828400,"2014-05-23 3:0",286.406646706587,40,66.7348160821215,2.0213002566296,284.097818648417,287.623909324209
"179",1400832000,"2014-05-23 4:0",285.196234602464,1,73.5433930571109,2.31388577827548,282.641321388578,286.641321388578
"180",1400835600,"2014-05-23 5:0",284.053819672131,1,78.5642076502732,2.84357923497268,281.637158469945,285.124316939891
"181",1400839200,"2014-05-23 6:0",283.445232429441,1,81,2.6,281.15,284.673242944106
"182",1400842800,"2014-05-23 7:0",283.56623154848,1,81,3.10535455861071,281.655354558611,285.15
"183",1400846400,"2014-05-23 8:0",284.413990147783,1,76.0738916256158,3.6,283.135221674877,285.642610837438
"184",1400850000,"2014-05-23 9:0",285.792278047388,1,73.4307736226092,3.35692263773908,284.15,287.122309449044
"185",1400853600,"2014-05-23 10:0",286.924223946785,90,73.6288802660754,3.57422394678492,284.624223946785,288.624223946785
"186",1400857200,"2014-05-23 11:0",288.043367630701,75,71,4.1,285.624694104561,290.099388209121
"187",1400860800,"2014-05-23 12:0",289.06398858075,75,69.0587275693312,3.85734094616639,286.635318107667,291.15
"188",1400864400,"2014-05-23 13:0",290.32334248079,75,64.9923161361142,4.10192096597146,288.153841931943,292.153841931943
"189",1400868000,"2014-05-23 14:0",291.683855387254,75,61.024578450986,4.35307230637325,289.643855387253,293.643855387253
"190",1400871600,"2014-05-23 15:0",292.54662295082,75,55.5803278688525,4.1,290.638524590164,294.15
"191",1400875200,"2014-05-23 16:0",293.31,75,53.5,3.35,291.15,294.65
"192",1400878800,"2014-05-23 17:0",293.801730103806,75,50.1557093425606,3.08442906574394,292.118858131488,294.665570934256
"193",1400882400,"2014-05-23 18:0",293.687232876712,40,48.3178082191781,3.12602739726027,292.202054794521,294.15
"194",1400886000,"2014-05-23 19:0",293.43524691358,75,50.0987654320988,3.31296296296296,291.625308641975,294.15
"195",1400889600,"2014-05-24 20:0",293.068240086909,1,48,3.13530689842477,291.667653449212,294.15
"196",1400893200,"2014-05-24 21:0",291.824618834081,1,53.3766816143498,3.52237668161435,290.172421524664,293.172421524664
"197",1400896800,"2014-05-24 22:0",287.23910460251,1,75.305160390516,3.20160948396095,284.703138075314,289.185425383543
"198",1400900400,"2014-05-24 23:0",289.739523012552,1,64.2591352859135,4.42671408647141,287.715690376569,291.193793584379
"199",1400904000,"2014-05-24 0:0",285.940545149567,1,78.636287391669,2.57,283.15,288.15
"200",1400907600,"2014-05-24 1:0",285.456040231469,1,81.213557453844,2.06286304767153,283.623959768531,287.676040231469
"201",1400911200,"2014-05-24 2:0",284.695463117027,1,89.8718801996672,1.5,283.671353300055,286.671353300055
"202",1400914800,"2014-05-24 3:0",284.320829377269,1,90.1399050544541,1.89087964255794,282.673317509076,286.15
"203",1400918400,"2014-05-24 4:0",283.831331312018,1,89.8693495038589,2.21479051819184,282.15,285.67177508269
"204",1400922000,"2014-05-24 5:0",283.44,1,93,1.67766871165644,282.15,285.15
"205",1400925600,"2014-05-24 6:0",283.226187150838,1,93,1.22,281.674860335195,285.15
"206",1400929200,"2014-05-24 7:0",283.316630615641,1,93,1.2673377703827,281.15,285.15
"207",1400932800,"2014-05-24 8:0",285.554315259922,1,84.9941307993292,1.32,283.975600894354,287.03373392957
